V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
14,13,15,13,14,15,15,13,14,14,13,14,14,15,14,15,15,14,15,14,14,13,15,13,14,14,14,15,15,14,14,14,14,14,13,13,14,14,14,13,15,14,14,15,14,15,13,14,13,14
21,21,26,21,21,12,25,19,22,22,6,11,22,25,23,22,27,11,6,2,23,2,2,19,23,21,23,24,25,24,23,24,27,8,21,20,2,22,22,21,31,22,21,25,21,25,2,2,2,2
25,26,33,17,26,24,33,24,26,27,24,18,27,20,27,27,34,25,20,27,27,26,27,24,20,26,26,28,32,25,27,26,28,20,17,23,26,27,27,26,32,27,25,31,25,31,24,25,26,25
21,21,26,21,21,12,25,19,22,22,6,11,22,25,23,22,27,11,6,2,23,2,2,19,23,21,23,24,25,24,23,24,27,8,21,20,2,22,22,21,31,22,21,25,21,25,2,2,2,2
15,14,16,14,15,16,16,14,15,15,14,15,15,16,15,16,16,15,16,15,15,14,16,14,15,15,15,16,16,15,15,15,15,15,14,14,15,15,15,14,16,15,15,16,15,16,14,15,14,15
5,26,33,17,26,24,33,24,26,27,24,18,27,20,27,27,34,25,20,27,27,26,27,24,20,26,26,28,32,25,27,26,28,20,17,23,26,27,27,26,32,27,25,31,25,31,24,25,26,25
25,26,33,17,26,24,33,24,26,27,24,18,27,20,27,27,34,25,20,27,27,26,27,24,20,26,26,28,32,25,27,26,28,20,17,23,26,27,27,26,32,27,25,31,25,31,24,25,26,25
14,13,15,13,14,15,15,13,14,14,13,14,14,15,14,15,15,14,15,14,14,13,15,13,14,14,14,15,15,14,14,14,14,14,13,13,14,14,14,13,15,14,14,15,14,15,13,14,13,14
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
23,24,30,4,24,22,30,4,25,25,22,4,26,4,25,25,31,4,25,25,26,24,26,4,27,25,26,27,30,22,26,26,25,1,4,2,24,25,25,24,28,4,23,29,24,28,4,4,24,23
1,1,31,25,25,23,1,1,17,26,23,25,23,24,26,26,32,24,26,26,17,25,23,1,24,22,1,1,26,23,17,27,26,17,25,1,25,26,26,25,29,1,24,1,1,1,16,24,25,1
25,26,33,17,26,24,28,24,26,27,24,18,27,20,27,27,34,25,20,27,27,26,27,24,20,26,26,28,32,25,27,26,28,20,17,23,26,27,27,26,32,27,25,31,25,31,24,25,26,25
19,18,22,18,18,1,22,16,19,19,1,19,19,1,19,1,22,18,1,20,20,19,1,16,21,18,20,22,22,1,20,21,20,12,18,17,1,19,19,18,22,19,19,22,1,22,19,18,20,18
10,9,10,9,9,10,10,9,9,9,9,9,9,10,9,10,10,9,10,9,9,9,10,9,9,9,9,10,10,10,9,9,9,10,9,9,10,9,9,9,9,9,10,10,10,10,9,9,9,9
10,9,10,9,9,10,10,9,9,9,9,9,9,10,9,10,10,9,10,9,9,9,10,9,9,9,9,10,10,10,9,9,9,10,9,9,10,9,9,9,9,9,10,10,10,10,9,9,9,9
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
18,8,21,17,8,18,21,8,8,18,8,18,2,20,8,19,21,7,20,19,19,18,20,8,20,8,2,21,21,18,8,20,19,9,17,8,20,19,8,2,21,18,7,21,18,21,18,13,19,8
23,24,30,24,24,22,30,23,25,25,22,24,26,23,25,25,31,23,25,25,26,24,26,23,27,25,26,27,30,22,26,26,25,1,24,2,24,25,25,24,28,25,23,29,24,28,24,23,24,23
