"","method","mu","nc","value"
"524","single_louvain",30,20,0.743030526117818
"525","single_louvain",30,24,0.748563402098792
"526","single_louvain",30,25,0.744390828632739
"527","single_louvain",30,24,0.741658692979277
"528","single_louvain",30,24,0.760124702480853
"529","single_louvain",30,27,0.776323310378213
"530","single_louvain",30,20,0.733762595523778
"531","single_louvain",30,22,0.734892749110068
"532","single_louvain",30,25,0.771679236470105
"533","single_louvain",30,24,0.734998398085336
"534","single_louvain",30,25,0.77571915232614
"535","single_louvain",30,25,0.764513838007004
"536","single_louvain",30,22,0.744873986211571
"537","single_louvain",30,21,0.732373178948542
"538","single_louvain",30,24,0.750673017730308
"539","single_louvain",30,26,0.786748461473738
"540","single_louvain",30,22,0.726826873959224
"541","single_louvain",30,21,0.738489288994028
"542","single_louvain",30,22,0.735112790070155
"543","single_louvain",30,25,0.769052947171521
"544","single_louvain",30,23,0.731916866005605
"545","single_louvain",30,23,0.763339414167862
"546","single_louvain",30,25,0.749339419126646
"547","single_louvain",30,23,0.74520732856327
"548","single_louvain",30,22,0.745405341020862
"549","single_louvain",30,24,0.749462329805223
"550","single_louvain",30,24,0.749454595694322
"551","single_louvain",30,21,0.738951602654234
"552","single_louvain",30,25,0.765725917482273
"553","single_louvain",30,27,0.766634165018719
"554","single_louvain",30,24,0.75185165904421
"555","single_louvain",30,24,0.764402051203373
"556","single_louvain",30,26,0.758050949072582
"557","single_louvain",30,21,0.713741024724811
"558","single_louvain",30,24,0.766794039908735
"559","single_louvain",30,24,0.748344199685959
"560","single_louvain",30,25,0.761359298882587
"561","single_louvain",30,23,0.755183527574126
"562","single_louvain",30,25,0.77946780569845
"563","single_louvain",30,24,0.728437164769829
"564","single_louvain",30,21,0.741350459795092
"565","single_louvain",30,23,0.757510694069911
"566","single_louvain",30,24,0.756556669920979
"567","single_louvain",30,24,0.744603894278186
"568","single_louvain",30,23,0.747507952513143
"569","single_louvain",30,24,0.75477442939363
"570","single_louvain",30,22,0.726516614320096
"571","single_louvain",30,24,0.749129086404523
"572","single_louvain",30,24,0.762814616544956
"573","single_louvain",30,25,0.758497524903577
"574","single_louvain",30,26,0.771685884926001
"575","single_louvain",30,25,0.773286374526536
"576","single_louvain",30,23,0.75466270028632
"577","single_louvain",30,22,0.762701788510392
"578","single_louvain",30,24,0.753293566318107
"579","single_louvain",30,25,0.770892081750474
"580","single_louvain",30,25,0.749848433991235
"581","single_louvain",30,24,0.75270445518191
"582","single_louvain",30,24,0.750303121281788
"583","single_louvain",30,23,0.766342520286288
"584","single_louvain",30,23,0.746654514598295
"585","single_louvain",30,26,0.775138670612423
"586","single_louvain",30,22,0.742379746102991
"587","single_louvain",30,25,0.77920832517605
"588","single_louvain",30,21,0.722008718874503
"589","single_louvain",30,24,0.753390782145965
"590","single_louvain",30,25,0.764821056218525
"591","single_louvain",30,25,0.754918855583792
"592","single_louvain",30,22,0.744470755053264
"593","single_louvain",30,24,0.756976685683555
"594","single_louvain",30,23,0.75666393458489
"595","single_louvain",30,23,0.75318665997087
"596","single_louvain",30,23,0.75584901200083
"597","single_louvain",30,23,0.74210323458921
"598","single_louvain",30,24,0.764844351043574
"599","single_louvain",30,23,0.739663523498395
"600","single_louvain",30,27,0.784276312188781
"601","single_louvain",30,23,0.755275392811572
"602","single_louvain",30,23,0.746006100673091
"603","single_louvain",30,25,0.780114979165369
"604","single_louvain",30,24,0.753797366599253
"605","single_louvain",30,23,0.772136546347999
"606","cons_louvain",30,39,0.837960352421766
"607","single_louvain",35,23,0.692704099386401
"608","single_louvain",35,23,0.683703462506768
"609","single_louvain",35,22,0.683307200865698
"610","single_louvain",35,22,0.664431130555154
